time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 5.6364e-09 0 5.6364e-09 0 5.6364e-09 0 5.6364e-09 
NO2 2.2221e-09 0 2.2221e-09 0 2.2221e-09 0 2.2221e-09 
NO 4.2326e-08 0 4.2326e-08 0 4.2326e-08 0 4.2326e-08 
NH3 1.587e-08 0 1.587e-08 0 1.587e-08 0 1.587e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 3.5525e-10 0 3.5525e-10 0 3.5525e-10 0 3.5525e-10 
HCHO 3.5525e-10 0 3.5525e-10 0 3.5525e-10 0 3.5525e-10 
ETH 4.099e-09 0 4.099e-09 0 4.099e-09 0 4.099e-09 
OLEI 1.3254e-09 0 1.3254e-09 0 1.3254e-09 0 1.3254e-09 
OLET 1.3254e-09 0 1.3254e-09 0 1.3254e-09 0 1.3254e-09 
TOL 2.1862e-09 0 2.1862e-09 0 2.1862e-09 0 2.1862e-09 
XYL 1.3117e-09 0 1.3117e-09 0 1.3117e-09 0 1.3117e-09 
AONE 6.8317e-10 0 6.8317e-10 0 6.8317e-10 0 6.8317e-10 
PAR 5.1921e-08 0 5.1921e-08 0 5.1921e-08 0 5.1921e-08 
ISOP 1.2707e-10 0 1.2707e-10 0 1.2707e-10 0 1.2707e-10 
CH3OH 1.5576e-10 0 1.5576e-10 0 1.5576e-10 0 1.5576e-10 
ANOL 1.8856e-09 0 1.8856e-09 0 1.8856e-09 0 1.8856e-09 
