time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 4.07e-10 0 4.07e-10 0 4.07e-10 0 4.07e-10 
NO2 3.833e-10 0 3.833e-10 0 3.833e-10 0 3.833e-10 
NO 7.301e-09 0 7.301e-09 0 7.301e-09 0 7.301e-09 
NH3 5.94e-09 0 5.94e-09 0 5.94e-09 0 5.94e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.7202e-09 0 2.7202e-09 0 2.7202e-09 0 2.7202e-09 
HCHO 2.7202e-09 0 2.7202e-09 0 2.7202e-09 0 2.7202e-09 
ETH 3.1387e-08 0 3.1387e-08 0 3.1387e-08 0 3.1387e-08 
OLEI 1.0149e-08 0 1.0149e-08 0 1.0149e-08 0 1.0149e-08 
OLET 1.0149e-08 0 1.0149e-08 0 1.0149e-08 0 1.0149e-08 
TOL 1.674e-08 0 1.674e-08 0 1.674e-08 0 1.674e-08 
XYL 1.0044e-08 0 1.0044e-08 0 1.0044e-08 0 1.0044e-08 
AONE 5.2312e-09 0 5.2312e-09 0 5.2312e-09 0 5.2312e-09 
PAR 3.9757e-07 0 3.9757e-07 0 3.9757e-07 0 3.9757e-07 
ISOP 9.7301e-10 0 9.7301e-10 0 9.7301e-10 0 9.7301e-10 
CH3OH 1.1927e-09 0 1.1927e-09 0 1.1927e-09 0 1.1927e-09 
ANOL 1.4438e-08 0 1.4438e-08 0 1.4438e-08 0 1.4438e-08 
