time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 8.5433e-09 0 8.5433e-09 0 8.5433e-09 0 8.5433e-09 
NO2 1.0453e-09 0 1.0453e-09 0 1.0453e-09 0 1.0453e-09 
NO 1.991e-08 0 1.991e-08 0 1.991e-08 0 1.991e-08 
NH3 2.2492e-09 0 2.2492e-09 0 2.2492e-09 0 2.2492e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.3842e-10 0 2.3842e-10 0 2.3842e-10 0 2.3842e-10 
HCHO 2.3842e-10 0 2.3842e-10 0 2.3842e-10 0 2.3842e-10 
ETH 2.751e-09 0 2.751e-09 0 2.751e-09 0 2.751e-09 
OLEI 8.8948e-10 0 8.8948e-10 0 8.8948e-10 0 8.8948e-10 
OLET 8.8948e-10 0 8.8948e-10 0 8.8948e-10 0 8.8948e-10 
TOL 1.4672e-09 0 1.4672e-09 0 1.4672e-09 0 1.4672e-09 
XYL 8.8031e-10 0 8.8031e-10 0 8.8031e-10 0 8.8031e-10 
AONE 4.585e-10 0 4.585e-10 0 4.585e-10 0 4.585e-10 
PAR 3.4846e-08 0 3.4846e-08 0 3.4846e-08 0 3.4846e-08 
ISOP 8.528e-11 0 8.528e-11 0 8.528e-11 0 8.528e-11 
CH3OH 1.0454e-10 0 1.0454e-10 0 1.0454e-10 0 1.0454e-10 
ANOL 1.2655e-09 0 1.2655e-09 0 1.2655e-09 0 1.2655e-09 
