time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 1.0164e-09 0 1.0164e-09 0 1.0164e-09 0 1.0164e-09 
NO2 1.6087e-09 0 1.6087e-09 0 1.6087e-09 0 1.6087e-09 
NO 3.0641e-08 0 3.0641e-08 0 3.0641e-08 0 3.0641e-08 
NH3 2.1228e-10 0 2.1228e-10 0 2.1228e-10 0 2.1228e-10 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.995e-09 0 2.995e-09 0 2.995e-09 0 2.995e-09 
HCHO 2.995e-09 0 2.995e-09 0 2.995e-09 0 2.995e-09 
ETH 3.4557e-08 0 3.4557e-08 0 3.4557e-08 0 3.4557e-08 
OLEI 1.1174e-08 0 1.1174e-08 0 1.1174e-08 0 1.1174e-08 
OLET 1.1174e-08 0 1.1174e-08 0 1.1174e-08 0 1.1174e-08 
TOL 1.8431e-08 0 1.8431e-08 0 1.8431e-08 0 1.8431e-08 
XYL 1.1058e-08 0 1.1058e-08 0 1.1058e-08 0 1.1058e-08 
AONE 5.7596e-09 0 5.7596e-09 0 5.7596e-09 0 5.7596e-09 
PAR 4.3773e-07 0 4.3773e-07 0 4.3773e-07 0 4.3773e-07 
ISOP 1.0713e-09 0 1.0713e-09 0 1.0713e-09 0 1.0713e-09 
CH3OH 1.3132e-09 0 1.3132e-09 0 1.3132e-09 0 1.3132e-09 
ANOL 1.5896e-08 0 1.5896e-08 0 1.5896e-08 0 1.5896e-08 
