time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 2.4424e-09 0 2.4424e-09 0 2.4424e-09 0 2.4424e-09 
NO2 2.6308e-09 0 2.6308e-09 0 2.6308e-09 0 2.6308e-09 
NO 5.0111e-08 0 5.0111e-08 0 5.0111e-08 0 5.0111e-08 
NH3 1.5074e-08 0 1.5074e-08 0 1.5074e-08 0 1.5074e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.6601e-09 0 2.6601e-09 0 2.6601e-09 0 2.6601e-09 
HCHO 2.6601e-09 0 2.6601e-09 0 2.6601e-09 0 2.6601e-09 
ETH 3.0693e-08 0 3.0693e-08 0 3.0693e-08 0 3.0693e-08 
OLEI 9.9242e-09 0 9.9242e-09 0 9.9242e-09 0 9.9242e-09 
OLET 9.9242e-09 0 9.9242e-09 0 9.9242e-09 0 9.9242e-09 
TOL 1.637e-08 0 1.637e-08 0 1.637e-08 0 1.637e-08 
XYL 9.8219e-09 0 9.8219e-09 0 9.8219e-09 0 9.8219e-09 
AONE 5.1156e-09 0 5.1156e-09 0 5.1156e-09 0 5.1156e-09 
PAR 3.8878e-07 0 3.8878e-07 0 3.8878e-07 0 3.8878e-07 
ISOP 9.5149e-10 0 9.5149e-10 0 9.5149e-10 0 9.5149e-10 
CH3OH 1.1663e-09 0 1.1663e-09 0 1.1663e-09 0 1.1663e-09 
ANOL 1.4119e-08 0 1.4119e-08 0 1.4119e-08 0 1.4119e-08 
