time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 3.0235e-09 0 3.0235e-09 0 3.0235e-09 0 3.0235e-09 
NO2 2.2147e-09 0 2.2147e-09 0 2.2147e-09 0 2.2147e-09 
NO 4.2185e-08 0 4.2185e-08 0 4.2185e-08 0 4.2185e-08 
NH3 1.8909e-08 0 1.8909e-08 0 1.8909e-08 0 1.8909e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.5231e-09 0 2.5231e-09 0 2.5231e-09 0 2.5231e-09 
HCHO 2.5231e-09 0 2.5231e-09 0 2.5231e-09 0 2.5231e-09 
ETH 2.9112e-08 0 2.9112e-08 0 2.9112e-08 0 2.9112e-08 
OLEI 9.4129e-09 0 9.4129e-09 0 9.4129e-09 0 9.4129e-09 
OLET 9.4129e-09 0 9.4129e-09 0 9.4129e-09 0 9.4129e-09 
TOL 1.5526e-08 0 1.5526e-08 0 1.5526e-08 0 1.5526e-08 
XYL 9.3159e-09 0 9.3159e-09 0 9.3159e-09 0 9.3159e-09 
AONE 4.852e-09 0 4.852e-09 0 4.852e-09 0 4.852e-09 
PAR 3.6875e-07 0 3.6875e-07 0 3.6875e-07 0 3.6875e-07 
ISOP 9.0248e-10 0 9.0248e-10 0 9.0248e-10 0 9.0248e-10 
CH3OH 1.1063e-09 0 1.1063e-09 0 1.1063e-09 0 1.1063e-09 
ANOL 1.3392e-08 0 1.3392e-08 0 1.3392e-08 0 1.3392e-08 
