time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 8.1956e-09 0 8.1956e-09 0 8.1956e-09 0 8.1956e-09 
NO2 2.8914e-09 0 2.8914e-09 0 2.8914e-09 0 2.8914e-09 
NO 5.5075e-08 0 5.5075e-08 0 5.5075e-08 0 5.5075e-08 
NH3 7.0067e-09 0 7.0067e-09 0 7.0067e-09 0 7.0067e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 3.4938e-09 0 3.4938e-09 0 3.4938e-09 0 3.4938e-09 
HCHO 3.4938e-09 0 3.4938e-09 0 3.4938e-09 0 3.4938e-09 
ETH 4.0313e-08 0 4.0313e-08 0 4.0313e-08 0 4.0313e-08 
OLEI 1.3035e-08 0 1.3035e-08 0 1.3035e-08 0 1.3035e-08 
OLET 1.3035e-08 0 1.3035e-08 0 1.3035e-08 0 1.3035e-08 
TOL 2.15e-08 0 2.15e-08 0 2.15e-08 0 2.15e-08 
XYL 1.29e-08 0 1.29e-08 0 1.29e-08 0 1.29e-08 
AONE 6.7189e-09 0 6.7189e-09 0 6.7189e-09 0 6.7189e-09 
PAR 5.1063e-07 0 5.1063e-07 0 5.1063e-07 0 5.1063e-07 
ISOP 1.2497e-09 0 1.2497e-09 0 1.2497e-09 0 1.2497e-09 
CH3OH 1.5319e-09 0 1.5319e-09 0 1.5319e-09 0 1.5319e-09 
ANOL 1.8544e-08 0 1.8544e-08 0 1.8544e-08 0 1.8544e-08 
