time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 8.7043e-10 0 8.7043e-10 0 8.7043e-10 0 8.7043e-10 
NO2 9.4229e-10 0 9.4229e-10 0 9.4229e-10 0 9.4229e-10 
NO 1.7948e-08 0 1.7948e-08 0 1.7948e-08 0 1.7948e-08 
NH3 6.6671e-09 0 6.6671e-09 0 6.6671e-09 0 6.6671e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 1.5872e-09 0 1.5872e-09 0 1.5872e-09 0 1.5872e-09 
HCHO 1.5872e-09 0 1.5872e-09 0 1.5872e-09 0 1.5872e-09 
ETH 1.8313e-08 0 1.8313e-08 0 1.8313e-08 0 1.8313e-08 
OLEI 5.9214e-09 0 5.9214e-09 0 5.9214e-09 0 5.9214e-09 
OLET 5.9214e-09 0 5.9214e-09 0 5.9214e-09 0 5.9214e-09 
TOL 9.7672e-09 0 9.7672e-09 0 9.7672e-09 0 9.7672e-09 
XYL 5.8603e-09 0 5.8603e-09 0 5.8603e-09 0 5.8603e-09 
AONE 3.0522e-09 0 3.0522e-09 0 3.0522e-09 0 3.0522e-09 
PAR 2.3197e-07 0 2.3197e-07 0 2.3197e-07 0 2.3197e-07 
ISOP 5.6772e-10 0 5.6772e-10 0 5.6772e-10 0 5.6772e-10 
CH3OH 6.9591e-10 0 6.9591e-10 0 6.9591e-10 0 6.9591e-10 
ANOL 8.4242e-09 0 8.4242e-09 0 8.4242e-09 0 8.4242e-09 
