time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 2.6044e-10 0 2.6044e-10 0 2.6044e-10 0 2.6044e-10 
NO2 2.2898e-10 0 2.2898e-10 0 2.2898e-10 0 2.2898e-10 
NO 4.3616e-09 0 4.3616e-09 0 4.3616e-09 0 4.3616e-09 
NH3 1.5545e-08 0 1.5545e-08 0 1.5545e-08 0 1.5545e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.8064e-09 0 2.8064e-09 0 2.8064e-09 0 2.8064e-09 
HCHO 2.8064e-09 0 2.8064e-09 0 2.8064e-09 0 2.8064e-09 
ETH 3.2381e-08 0 3.2381e-08 0 3.2381e-08 0 3.2381e-08 
OLEI 1.047e-08 0 1.047e-08 0 1.047e-08 0 1.047e-08 
OLET 1.047e-08 0 1.047e-08 0 1.047e-08 0 1.047e-08 
TOL 1.727e-08 0 1.727e-08 0 1.727e-08 0 1.727e-08 
XYL 1.0362e-08 0 1.0362e-08 0 1.0362e-08 0 1.0362e-08 
AONE 5.3968e-09 0 5.3968e-09 0 5.3968e-09 0 5.3968e-09 
PAR 4.1016e-07 0 4.1016e-07 0 4.1016e-07 0 4.1016e-07 
ISOP 1.0038e-09 0 1.0038e-09 0 1.0038e-09 0 1.0038e-09 
CH3OH 1.2305e-09 0 1.2305e-09 0 1.2305e-09 0 1.2305e-09 
ANOL 1.4895e-08 0 1.4895e-08 0 1.4895e-08 0 1.4895e-08 
