time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 5.6867e-09 0 5.6867e-09 0 5.6867e-09 0 5.6867e-09 
NO2 2.0102e-09 0 2.0102e-09 0 2.0102e-09 0 2.0102e-09 
NO 3.8289e-08 0 3.8289e-08 0 3.8289e-08 0 3.8289e-08 
NH3 1.7803e-08 0 1.7803e-08 0 1.7803e-08 0 1.7803e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 3.1157e-09 0 3.1157e-09 0 3.1157e-09 0 3.1157e-09 
HCHO 3.1157e-09 0 3.1157e-09 0 3.1157e-09 0 3.1157e-09 
ETH 3.595e-08 0 3.595e-08 0 3.595e-08 0 3.595e-08 
OLEI 1.1624e-08 0 1.1624e-08 0 1.1624e-08 0 1.1624e-08 
OLET 1.1624e-08 0 1.1624e-08 0 1.1624e-08 0 1.1624e-08 
TOL 1.9173e-08 0 1.9173e-08 0 1.9173e-08 0 1.9173e-08 
XYL 1.1504e-08 0 1.1504e-08 0 1.1504e-08 0 1.1504e-08 
AONE 5.9916e-09 0 5.9916e-09 0 5.9916e-09 0 5.9916e-09 
PAR 4.5536e-07 0 4.5536e-07 0 4.5536e-07 0 4.5536e-07 
ISOP 1.1144e-09 0 1.1144e-09 0 1.1144e-09 0 1.1144e-09 
CH3OH 1.3661e-09 0 1.3661e-09 0 1.3661e-09 0 1.3661e-09 
ANOL 1.6537e-08 0 1.6537e-08 0 1.6537e-08 0 1.6537e-08 
