time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 9.2095e-09 0 9.2095e-09 0 9.2095e-09 0 9.2095e-09 
NO2 3.5263e-11 0 3.5263e-11 0 3.5263e-11 0 3.5263e-11 
NO 6.7167e-10 0 6.7167e-10 0 6.7167e-10 0 6.7167e-10 
NH3 9.3391e-09 0 9.3391e-09 0 9.3391e-09 0 9.3391e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.4293e-09 0 4.4293e-09 0 4.4293e-09 0 4.4293e-09 
HCHO 4.4293e-09 0 4.4293e-09 0 4.4293e-09 0 4.4293e-09 
ETH 5.1108e-08 0 5.1108e-08 0 5.1108e-08 0 5.1108e-08 
OLEI 1.6525e-08 0 1.6525e-08 0 1.6525e-08 0 1.6525e-08 
OLET 1.6525e-08 0 1.6525e-08 0 1.6525e-08 0 1.6525e-08 
TOL 2.7257e-08 0 2.7257e-08 0 2.7257e-08 0 2.7257e-08 
XYL 1.6354e-08 0 1.6354e-08 0 1.6354e-08 0 1.6354e-08 
AONE 8.518e-09 0 8.518e-09 0 8.518e-09 0 8.518e-09 
PAR 6.4736e-07 0 6.4736e-07 0 6.4736e-07 0 6.4736e-07 
ISOP 1.5843e-09 0 1.5843e-09 0 1.5843e-09 0 1.5843e-09 
CH3OH 1.9421e-09 0 1.9421e-09 0 1.9421e-09 0 1.9421e-09 
ANOL 2.351e-08 0 2.351e-08 0 2.351e-08 0 2.351e-08 
