time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 9.653e-09 0 9.653e-09 0 9.653e-09 0 9.653e-09 
NO2 2.6163e-09 0 2.6163e-09 0 2.6163e-09 0 2.6163e-09 
NO 4.9834e-08 0 4.9834e-08 0 4.9834e-08 0 4.9834e-08 
NH3 6.2853e-10 0 6.2853e-10 0 6.2853e-10 0 6.2853e-10 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 3.538e-09 0 3.538e-09 0 3.538e-09 0 3.538e-09 
HCHO 3.538e-09 0 3.538e-09 0 3.538e-09 0 3.538e-09 
ETH 4.0824e-08 0 4.0824e-08 0 4.0824e-08 0 4.0824e-08 
OLEI 1.32e-08 0 1.32e-08 0 1.32e-08 0 1.32e-08 
OLET 1.32e-08 0 1.32e-08 0 1.32e-08 0 1.32e-08 
TOL 2.1773e-08 0 2.1773e-08 0 2.1773e-08 0 2.1773e-08 
XYL 1.3064e-08 0 1.3064e-08 0 1.3064e-08 0 1.3064e-08 
AONE 6.8039e-09 0 6.8039e-09 0 6.8039e-09 0 6.8039e-09 
PAR 5.171e-07 0 5.171e-07 0 5.171e-07 0 5.171e-07 
ISOP 1.2655e-09 0 1.2655e-09 0 1.2655e-09 0 1.2655e-09 
CH3OH 1.5513e-09 0 1.5513e-09 0 1.5513e-09 0 1.5513e-09 
ANOL 1.8779e-08 0 1.8779e-08 0 1.8779e-08 0 1.8779e-08 
