time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 7.174e-09 0 7.174e-09 0 7.174e-09 0 7.174e-09 
NO2 1.5148e-09 0 1.5148e-09 0 1.5148e-09 0 1.5148e-09 
NO 2.8853e-08 0 2.8853e-08 0 2.8853e-08 0 2.8853e-08 
NH3 1.1684e-08 0 1.1684e-08 0 1.1684e-08 0 1.1684e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.3556e-09 0 4.3556e-09 0 4.3556e-09 0 4.3556e-09 
HCHO 4.3556e-09 0 4.3556e-09 0 4.3556e-09 0 4.3556e-09 
ETH 5.0257e-08 0 5.0257e-08 0 5.0257e-08 0 5.0257e-08 
OLEI 1.625e-08 0 1.625e-08 0 1.625e-08 0 1.625e-08 
OLET 1.625e-08 0 1.625e-08 0 1.625e-08 0 1.625e-08 
TOL 2.6804e-08 0 2.6804e-08 0 2.6804e-08 0 2.6804e-08 
XYL 1.6082e-08 0 1.6082e-08 0 1.6082e-08 0 1.6082e-08 
AONE 8.3761e-09 0 8.3761e-09 0 8.3761e-09 0 8.3761e-09 
PAR 6.3658e-07 0 6.3658e-07 0 6.3658e-07 0 6.3658e-07 
ISOP 1.558e-09 0 1.558e-09 0 1.558e-09 0 1.558e-09 
CH3OH 1.9098e-09 0 1.9098e-09 0 1.9098e-09 0 1.9098e-09 
ANOL 2.3118e-08 0 2.3118e-08 0 2.3118e-08 0 2.3118e-08 
