time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 1.771e-09 0 1.771e-09 0 1.771e-09 0 1.771e-09 
NO2 2.6613e-09 0 2.6613e-09 0 2.6613e-09 0 2.6613e-09 
NO 5.0691e-08 0 5.0691e-08 0 5.0691e-08 0 5.0691e-08 
NH3 8.8481e-10 0 8.8481e-10 0 8.8481e-10 0 8.8481e-10 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 3.3557e-09 0 3.3557e-09 0 3.3557e-09 0 3.3557e-09 
HCHO 3.3557e-09 0 3.3557e-09 0 3.3557e-09 0 3.3557e-09 
ETH 3.8719e-08 0 3.8719e-08 0 3.8719e-08 0 3.8719e-08 
OLEI 1.2519e-08 0 1.2519e-08 0 1.2519e-08 0 1.2519e-08 
OLET 1.2519e-08 0 1.2519e-08 0 1.2519e-08 0 1.2519e-08 
TOL 2.065e-08 0 2.065e-08 0 2.065e-08 0 2.065e-08 
XYL 1.239e-08 0 1.239e-08 0 1.239e-08 0 1.239e-08 
AONE 6.4532e-09 0 6.4532e-09 0 6.4532e-09 0 6.4532e-09 
PAR 4.9045e-07 0 4.9045e-07 0 4.9045e-07 0 4.9045e-07 
ISOP 1.2003e-09 0 1.2003e-09 0 1.2003e-09 0 1.2003e-09 
CH3OH 1.4713e-09 0 1.4713e-09 0 1.4713e-09 0 1.4713e-09 
ANOL 1.7811e-08 0 1.7811e-08 0 1.7811e-08 0 1.7811e-08 
