time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 2.4923e-09 0 2.4923e-09 0 2.4923e-09 0 2.4923e-09 
NO2 2.0333e-09 0 2.0333e-09 0 2.0333e-09 0 2.0333e-09 
NO 3.873e-08 0 3.873e-08 0 3.873e-08 0 3.873e-08 
NH3 1.6607e-08 0 1.6607e-08 0 1.6607e-08 0 1.6607e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 1.4998e-09 0 1.4998e-09 0 1.4998e-09 0 1.4998e-09 
HCHO 1.4998e-09 0 1.4998e-09 0 1.4998e-09 0 1.4998e-09 
ETH 1.7305e-08 0 1.7305e-08 0 1.7305e-08 0 1.7305e-08 
OLEI 5.5954e-09 0 5.5954e-09 0 5.5954e-09 0 5.5954e-09 
OLET 5.5954e-09 0 5.5954e-09 0 5.5954e-09 0 5.5954e-09 
TOL 9.2296e-09 0 9.2296e-09 0 9.2296e-09 0 9.2296e-09 
XYL 5.5377e-09 0 5.5377e-09 0 5.5377e-09 0 5.5377e-09 
AONE 2.8842e-09 0 2.8842e-09 0 2.8842e-09 0 2.8842e-09 
PAR 2.192e-07 0 2.192e-07 0 2.192e-07 0 2.192e-07 
ISOP 5.3647e-10 0 5.3647e-10 0 5.3647e-10 0 5.3647e-10 
CH3OH 6.5761e-10 0 6.5761e-10 0 6.5761e-10 0 6.5761e-10 
ANOL 7.9605e-09 0 7.9605e-09 0 7.9605e-09 0 7.9605e-09 
