time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 2.9294e-09 0 2.9294e-09 0 2.9294e-09 0 2.9294e-09 
NO2 7.3218e-10 0 7.3218e-10 0 7.3218e-10 0 7.3218e-10 
NO 1.3946e-08 0 1.3946e-08 0 1.3946e-08 0 1.3946e-08 
NH3 9.0646e-09 0 9.0646e-09 0 9.0646e-09 0 9.0646e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.4818e-09 0 4.4818e-09 0 4.4818e-09 0 4.4818e-09 
HCHO 4.4818e-09 0 4.4818e-09 0 4.4818e-09 0 4.4818e-09 
ETH 5.1713e-08 0 5.1713e-08 0 5.1713e-08 0 5.1713e-08 
OLEI 1.6721e-08 0 1.6721e-08 0 1.6721e-08 0 1.6721e-08 
OLET 1.6721e-08 0 1.6721e-08 0 1.6721e-08 0 1.6721e-08 
TOL 2.758e-08 0 2.758e-08 0 2.758e-08 0 2.758e-08 
XYL 1.6548e-08 0 1.6548e-08 0 1.6548e-08 0 1.6548e-08 
AONE 8.6189e-09 0 8.6189e-09 0 8.6189e-09 0 8.6189e-09 
PAR 6.5503e-07 0 6.5503e-07 0 6.5503e-07 0 6.5503e-07 
ISOP 1.6031e-09 0 1.6031e-09 0 1.6031e-09 0 1.6031e-09 
CH3OH 1.9651e-09 0 1.9651e-09 0 1.9651e-09 0 1.9651e-09 
ANOL 2.3788e-08 0 2.3788e-08 0 2.3788e-08 0 2.3788e-08 
