time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 3.9054e-10 0 3.9054e-10 0 3.9054e-10 0 3.9054e-10 
NO2 1.4596e-09 0 1.4596e-09 0 1.4596e-09 0 1.4596e-09 
NO 2.7802e-08 0 2.7802e-08 0 2.7802e-08 0 2.7802e-08 
NH3 8.24e-09 0 8.24e-09 0 8.24e-09 0 8.24e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.5987e-09 0 2.5987e-09 0 2.5987e-09 0 2.5987e-09 
HCHO 2.5987e-09 0 2.5987e-09 0 2.5987e-09 0 2.5987e-09 
ETH 2.9985e-08 0 2.9985e-08 0 2.9985e-08 0 2.9985e-08 
OLEI 9.6953e-09 0 9.6953e-09 0 9.6953e-09 0 9.6953e-09 
OLET 9.6953e-09 0 9.6953e-09 0 9.6953e-09 0 9.6953e-09 
TOL 1.5992e-08 0 1.5992e-08 0 1.5992e-08 0 1.5992e-08 
XYL 9.5953e-09 0 9.5953e-09 0 9.5953e-09 0 9.5953e-09 
AONE 4.9976e-09 0 4.9976e-09 0 4.9976e-09 0 4.9976e-09 
PAR 3.7981e-07 0 3.7981e-07 0 3.7981e-07 0 3.7981e-07 
ISOP 9.2955e-10 0 9.2955e-10 0 9.2955e-10 0 9.2955e-10 
CH3OH 1.1394e-09 0 1.1394e-09 0 1.1394e-09 0 1.1394e-09 
ANOL 1.3793e-08 0 1.3793e-08 0 1.3793e-08 0 1.3793e-08 
