time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 9.7769e-09 0 9.7769e-09 0 9.7769e-09 0 9.7769e-09 
NO2 1.9283e-09 0 1.9283e-09 0 1.9283e-09 0 1.9283e-09 
NO 3.6729e-08 0 3.6729e-08 0 3.6729e-08 0 3.6729e-08 
NH3 1.1696e-08 0 1.1696e-08 0 1.1696e-08 0 1.1696e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.3887e-09 0 4.3887e-09 0 4.3887e-09 0 4.3887e-09 
HCHO 4.3887e-09 0 4.3887e-09 0 4.3887e-09 0 4.3887e-09 
ETH 5.0638e-08 0 5.0638e-08 0 5.0638e-08 0 5.0638e-08 
OLEI 1.6373e-08 0 1.6373e-08 0 1.6373e-08 0 1.6373e-08 
OLET 1.6373e-08 0 1.6373e-08 0 1.6373e-08 0 1.6373e-08 
TOL 2.7007e-08 0 2.7007e-08 0 2.7007e-08 0 2.7007e-08 
XYL 1.6204e-08 0 1.6204e-08 0 1.6204e-08 0 1.6204e-08 
AONE 8.4397e-09 0 8.4397e-09 0 8.4397e-09 0 8.4397e-09 
PAR 6.4142e-07 0 6.4142e-07 0 6.4142e-07 0 6.4142e-07 
ISOP 1.5698e-09 0 1.5698e-09 0 1.5698e-09 0 1.5698e-09 
CH3OH 1.9243e-09 0 1.9243e-09 0 1.9243e-09 0 1.9243e-09 
ANOL 2.3294e-08 0 2.3294e-08 0 2.3294e-08 0 2.3294e-08 
