time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 4.7695e-09 0 4.7695e-09 0 4.7695e-09 0 4.7695e-09 
NO2 8.9962e-10 0 8.9962e-10 0 8.9962e-10 0 8.9962e-10 
NO 1.7136e-08 0 1.7136e-08 0 1.7136e-08 0 1.7136e-08 
NH3 1.9948e-08 0 1.9948e-08 0 1.9948e-08 0 1.9948e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.7587e-10 0 2.7587e-10 0 2.7587e-10 0 2.7587e-10 
HCHO 2.7587e-10 0 2.7587e-10 0 2.7587e-10 0 2.7587e-10 
ETH 3.1831e-09 0 3.1831e-09 0 3.1831e-09 0 3.1831e-09 
OLEI 1.0292e-09 0 1.0292e-09 0 1.0292e-09 0 1.0292e-09 
OLET 1.0292e-09 0 1.0292e-09 0 1.0292e-09 0 1.0292e-09 
TOL 1.6976e-09 0 1.6976e-09 0 1.6976e-09 0 1.6976e-09 
XYL 1.0186e-09 0 1.0186e-09 0 1.0186e-09 0 1.0186e-09 
AONE 5.3051e-10 0 5.3051e-10 0 5.3051e-10 0 5.3051e-10 
PAR 4.0319e-08 0 4.0319e-08 0 4.0319e-08 0 4.0319e-08 
ISOP 9.8676e-11 0 9.8676e-11 0 9.8676e-11 0 9.8676e-11 
CH3OH 1.2096e-10 0 1.2096e-10 0 1.2096e-10 0 1.2096e-10 
ANOL 1.4642e-09 0 1.4642e-09 0 1.4642e-09 0 1.4642e-09 
