time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 5.5117e-09 0 5.5117e-09 0 5.5117e-09 0 5.5117e-09 
NO2 1.572e-09 0 1.572e-09 0 1.572e-09 0 1.572e-09 
NO 2.9942e-08 0 2.9942e-08 0 2.9942e-08 0 2.9942e-08 
NH3 5.1538e-09 0 5.1538e-09 0 5.1538e-09 0 5.1538e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 1.9656e-09 0 1.9656e-09 0 1.9656e-09 0 1.9656e-09 
HCHO 1.9656e-09 0 1.9656e-09 0 1.9656e-09 0 1.9656e-09 
ETH 2.268e-08 0 2.268e-08 0 2.268e-08 0 2.268e-08 
OLEI 7.333e-09 0 7.333e-09 0 7.333e-09 0 7.333e-09 
OLET 7.333e-09 0 7.333e-09 0 7.333e-09 0 7.333e-09 
TOL 1.2096e-08 0 1.2096e-08 0 1.2096e-08 0 1.2096e-08 
XYL 7.2574e-09 0 7.2574e-09 0 7.2574e-09 0 7.2574e-09 
AONE 3.7799e-09 0 3.7799e-09 0 3.7799e-09 0 3.7799e-09 
PAR 2.8727e-07 0 2.8727e-07 0 2.8727e-07 0 2.8727e-07 
ISOP 7.0307e-10 0 7.0307e-10 0 7.0307e-10 0 7.0307e-10 
CH3OH 8.6182e-10 0 8.6182e-10 0 8.6182e-10 0 8.6182e-10 
ANOL 1.0433e-08 0 1.0433e-08 0 1.0433e-08 0 1.0433e-08 
