time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 3.9018e-09 0 3.9018e-09 0 3.9018e-09 0 3.9018e-09 
NO2 7.6199e-10 0 7.6199e-10 0 7.6199e-10 0 7.6199e-10 
NO 1.4514e-08 0 1.4514e-08 0 1.4514e-08 0 1.4514e-08 
NH3 6.5227e-09 0 6.5227e-09 0 6.5227e-09 0 6.5227e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 3.7836e-09 0 3.7836e-09 0 3.7836e-09 0 3.7836e-09 
HCHO 3.7836e-09 0 3.7836e-09 0 3.7836e-09 0 3.7836e-09 
ETH 4.3657e-08 0 4.3657e-08 0 4.3657e-08 0 4.3657e-08 
OLEI 1.4116e-08 0 1.4116e-08 0 1.4116e-08 0 1.4116e-08 
OLET 1.4116e-08 0 1.4116e-08 0 1.4116e-08 0 1.4116e-08 
TOL 2.3284e-08 0 2.3284e-08 0 2.3284e-08 0 2.3284e-08 
XYL 1.397e-08 0 1.397e-08 0 1.397e-08 0 1.397e-08 
AONE 7.2762e-09 0 7.2762e-09 0 7.2762e-09 0 7.2762e-09 
PAR 5.5299e-07 0 5.5299e-07 0 5.5299e-07 0 5.5299e-07 
ISOP 1.3534e-09 0 1.3534e-09 0 1.3534e-09 0 1.3534e-09 
CH3OH 1.659e-09 0 1.659e-09 0 1.659e-09 0 1.659e-09 
ANOL 2.0082e-08 0 2.0082e-08 0 2.0082e-08 0 2.0082e-08 
