time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 9.1224e-09 0 9.1224e-09 0 9.1224e-09 0 9.1224e-09 
NO2 1.3682e-09 0 1.3682e-09 0 1.3682e-09 0 1.3682e-09 
NO 2.6061e-08 0 2.6061e-08 0 2.6061e-08 0 2.6061e-08 
NH3 4.6575e-09 0 4.6575e-09 0 4.6575e-09 0 4.6575e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.0515e-09 0 4.0515e-09 0 4.0515e-09 0 4.0515e-09 
HCHO 4.0515e-09 0 4.0515e-09 0 4.0515e-09 0 4.0515e-09 
ETH 4.6748e-08 0 4.6748e-08 0 4.6748e-08 0 4.6748e-08 
OLEI 1.5115e-08 0 1.5115e-08 0 1.5115e-08 0 1.5115e-08 
OLET 1.5115e-08 0 1.5115e-08 0 1.5115e-08 0 1.5115e-08 
TOL 2.4933e-08 0 2.4933e-08 0 2.4933e-08 0 2.4933e-08 
XYL 1.496e-08 0 1.496e-08 0 1.496e-08 0 1.496e-08 
AONE 7.7914e-09 0 7.7914e-09 0 7.7914e-09 0 7.7914e-09 
PAR 5.9215e-07 0 5.9215e-07 0 5.9215e-07 0 5.9215e-07 
ISOP 1.4492e-09 0 1.4492e-09 0 1.4492e-09 0 1.4492e-09 
CH3OH 1.7764e-09 0 1.7764e-09 0 1.7764e-09 0 1.7764e-09 
ANOL 2.1504e-08 0 2.1504e-08 0 2.1504e-08 0 2.1504e-08 
