time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 8.2478e-09 0 8.2478e-09 0 8.2478e-09 0 8.2478e-09 
NO2 3.2774e-09 0 3.2774e-09 0 3.2774e-09 0 3.2774e-09 
NO 6.2426e-08 0 6.2426e-08 0 6.2426e-08 0 6.2426e-08 
NH3 4.0902e-09 0 4.0902e-09 0 4.0902e-09 0 4.0902e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.2727e-09 0 2.2727e-09 0 2.2727e-09 0 2.2727e-09 
HCHO 2.2727e-09 0 2.2727e-09 0 2.2727e-09 0 2.2727e-09 
ETH 2.6224e-08 0 2.6224e-08 0 2.6224e-08 0 2.6224e-08 
OLEI 8.4789e-09 0 8.4789e-09 0 8.4789e-09 0 8.4789e-09 
OLET 8.4789e-09 0 8.4789e-09 0 8.4789e-09 0 8.4789e-09 
TOL 1.3986e-08 0 1.3986e-08 0 1.3986e-08 0 1.3986e-08 
XYL 8.3915e-09 0 8.3915e-09 0 8.3915e-09 0 8.3915e-09 
AONE 4.3706e-09 0 4.3706e-09 0 4.3706e-09 0 4.3706e-09 
PAR 3.3216e-07 0 3.3216e-07 0 3.3216e-07 0 3.3216e-07 
ISOP 8.1293e-10 0 8.1293e-10 0 8.1293e-10 0 8.1293e-10 
CH3OH 9.9649e-10 0 9.9649e-10 0 9.9649e-10 0 9.9649e-10 
ANOL 1.2063e-08 0 1.2063e-08 0 1.2063e-08 0 1.2063e-08 
