time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 7.9088e-09 0 7.9088e-09 0 7.9088e-09 0 7.9088e-09 
NO2 3.1998e-09 0 3.1998e-09 0 3.1998e-09 0 3.1998e-09 
NO 6.0949e-08 0 6.0949e-08 0 6.0949e-08 0 6.0949e-08 
NH3 1.6982e-08 0 1.6982e-08 0 1.6982e-08 0 1.6982e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.3525e-10 0 4.3525e-10 0 4.3525e-10 0 4.3525e-10 
HCHO 4.3525e-10 0 4.3525e-10 0 4.3525e-10 0 4.3525e-10 
ETH 5.0221e-09 0 5.0221e-09 0 5.0221e-09 0 5.0221e-09 
OLEI 1.6238e-09 0 1.6238e-09 0 1.6238e-09 0 1.6238e-09 
OLET 1.6238e-09 0 1.6238e-09 0 1.6238e-09 0 1.6238e-09 
TOL 2.6785e-09 0 2.6785e-09 0 2.6785e-09 0 2.6785e-09 
XYL 1.6071e-09 0 1.6071e-09 0 1.6071e-09 0 1.6071e-09 
AONE 8.3702e-10 0 8.3702e-10 0 8.3702e-10 0 8.3702e-10 
PAR 6.3614e-08 0 6.3614e-08 0 6.3614e-08 0 6.3614e-08 
ISOP 1.5569e-10 0 1.5569e-10 0 1.5569e-10 0 1.5569e-10 
CH3OH 1.9084e-10 0 1.9084e-10 0 1.9084e-10 0 1.9084e-10 
ANOL 2.3102e-09 0 2.3102e-09 0 2.3102e-09 0 2.3102e-09 
