time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 9.0568e-09 0 9.0568e-09 0 9.0568e-09 0 9.0568e-09 
NO2 1.6286e-09 0 1.6286e-09 0 1.6286e-09 0 1.6286e-09 
NO 3.102e-08 0 3.102e-08 0 3.102e-08 0 3.102e-08 
NH3 6.2514e-09 0 6.2514e-09 0 6.2514e-09 0 6.2514e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 8.235e-10 0 8.235e-10 0 8.235e-10 0 8.235e-10 
HCHO 8.235e-10 0 8.235e-10 0 8.235e-10 0 8.235e-10 
ETH 9.5019e-09 0 9.5019e-09 0 9.5019e-09 0 9.5019e-09 
OLEI 3.0723e-09 0 3.0723e-09 0 3.0723e-09 0 3.0723e-09 
OLET 3.0723e-09 0 3.0723e-09 0 3.0723e-09 0 3.0723e-09 
TOL 5.0677e-09 0 5.0677e-09 0 5.0677e-09 0 5.0677e-09 
XYL 3.0406e-09 0 3.0406e-09 0 3.0406e-09 0 3.0406e-09 
AONE 1.5836e-09 0 1.5836e-09 0 1.5836e-09 0 1.5836e-09 
PAR 1.2036e-07 0 1.2036e-07 0 1.2036e-07 0 1.2036e-07 
ISOP 2.9456e-10 0 2.9456e-10 0 2.9456e-10 0 2.9456e-10 
CH3OH 3.6107e-10 0 3.6107e-10 0 3.6107e-10 0 3.6107e-10 
ANOL 4.3709e-09 0 4.3709e-09 0 4.3709e-09 0 4.3709e-09 
