time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 5.8133e-09 0 5.8133e-09 0 5.8133e-09 0 5.8133e-09 
NO2 8.2212e-10 0 8.2212e-10 0 8.2212e-10 0 8.2212e-10 
NO 1.5659e-08 0 1.5659e-08 0 1.5659e-08 0 1.5659e-08 
NH3 7.6196e-09 0 7.6196e-09 0 7.6196e-09 0 7.6196e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.179e-09 0 2.179e-09 0 2.179e-09 0 2.179e-09 
HCHO 2.179e-09 0 2.179e-09 0 2.179e-09 0 2.179e-09 
ETH 2.5142e-08 0 2.5142e-08 0 2.5142e-08 0 2.5142e-08 
OLEI 8.1293e-09 0 8.1293e-09 0 8.1293e-09 0 8.1293e-09 
OLET 8.1293e-09 0 8.1293e-09 0 8.1293e-09 0 8.1293e-09 
TOL 1.3409e-08 0 1.3409e-08 0 1.3409e-08 0 1.3409e-08 
XYL 8.0455e-09 0 8.0455e-09 0 8.0455e-09 0 8.0455e-09 
AONE 4.1904e-09 0 4.1904e-09 0 4.1904e-09 0 4.1904e-09 
PAR 3.1847e-07 0 3.1847e-07 0 3.1847e-07 0 3.1847e-07 
ISOP 7.7941e-10 0 7.7941e-10 0 7.7941e-10 0 7.7941e-10 
CH3OH 9.554e-10 0 9.554e-10 0 9.554e-10 0 9.554e-10 
ANOL 1.1565e-08 0 1.1565e-08 0 1.1565e-08 0 1.1565e-08 
