time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 5.3346e-09 0 5.3346e-09 0 5.3346e-09 0 5.3346e-09 
NO2 3.2314e-09 0 3.2314e-09 0 3.2314e-09 0 3.2314e-09 
NO 6.155e-08 0 6.155e-08 0 6.155e-08 0 6.155e-08 
NH3 2.4383e-09 0 2.4383e-09 0 2.4383e-09 0 2.4383e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 3.679e-09 0 3.679e-09 0 3.679e-09 0 3.679e-09 
HCHO 3.679e-09 0 3.679e-09 0 3.679e-09 0 3.679e-09 
ETH 4.245e-08 0 4.245e-08 0 4.245e-08 0 4.245e-08 
OLEI 1.3726e-08 0 1.3726e-08 0 1.3726e-08 0 1.3726e-08 
OLET 1.3726e-08 0 1.3726e-08 0 1.3726e-08 0 1.3726e-08 
TOL 2.264e-08 0 2.264e-08 0 2.264e-08 0 2.264e-08 
XYL 1.3584e-08 0 1.3584e-08 0 1.3584e-08 0 1.3584e-08 
AONE 7.0751e-09 0 7.0751e-09 0 7.0751e-09 0 7.0751e-09 
PAR 5.3771e-07 0 5.3771e-07 0 5.3771e-07 0 5.3771e-07 
ISOP 1.316e-09 0 1.316e-09 0 1.316e-09 0 1.316e-09 
CH3OH 1.6131e-09 0 1.6131e-09 0 1.6131e-09 0 1.6131e-09 
ANOL 1.9527e-08 0 1.9527e-08 0 1.9527e-08 0 1.9527e-08 
