time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 4.3004e-09 0 4.3004e-09 0 4.3004e-09 0 4.3004e-09 
NO2 2.7616e-09 0 2.7616e-09 0 2.7616e-09 0 2.7616e-09 
NO 5.2603e-08 0 5.2603e-08 0 5.2603e-08 0 5.2603e-08 
NH3 8.0025e-09 0 8.0025e-09 0 8.0025e-09 0 8.0025e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.2531e-09 0 2.2531e-09 0 2.2531e-09 0 2.2531e-09 
HCHO 2.2531e-09 0 2.2531e-09 0 2.2531e-09 0 2.2531e-09 
ETH 2.5998e-08 0 2.5998e-08 0 2.5998e-08 0 2.5998e-08 
OLEI 8.4059e-09 0 8.4059e-09 0 8.4059e-09 0 8.4059e-09 
OLET 8.4059e-09 0 8.4059e-09 0 8.4059e-09 0 8.4059e-09 
TOL 1.3865e-08 0 1.3865e-08 0 1.3865e-08 0 1.3865e-08 
XYL 8.3193e-09 0 8.3193e-09 0 8.3193e-09 0 8.3193e-09 
AONE 4.333e-09 0 4.333e-09 0 4.333e-09 0 4.333e-09 
PAR 3.293e-07 0 3.293e-07 0 3.293e-07 0 3.293e-07 
ISOP 8.0593e-10 0 8.0593e-10 0 8.0593e-10 0 8.0593e-10 
CH3OH 9.8791e-10 0 9.8791e-10 0 9.8791e-10 0 9.8791e-10 
ANOL 1.1959e-08 0 1.1959e-08 0 1.1959e-08 0 1.1959e-08 
