time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 6.3907e-09 0 6.3907e-09 0 6.3907e-09 0 6.3907e-09 
NO2 2.8492e-09 0 2.8492e-09 0 2.8492e-09 0 2.8492e-09 
NO 5.4271e-08 0 5.4271e-08 0 5.4271e-08 0 5.4271e-08 
NH3 7.2395e-09 0 7.2395e-09 0 7.2395e-09 0 7.2395e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 3.0603e-09 0 3.0603e-09 0 3.0603e-09 0 3.0603e-09 
HCHO 3.0603e-09 0 3.0603e-09 0 3.0603e-09 0 3.0603e-09 
ETH 3.5311e-08 0 3.5311e-08 0 3.5311e-08 0 3.5311e-08 
OLEI 1.1417e-08 0 1.1417e-08 0 1.1417e-08 0 1.1417e-08 
OLET 1.1417e-08 0 1.1417e-08 0 1.1417e-08 0 1.1417e-08 
TOL 1.8832e-08 0 1.8832e-08 0 1.8832e-08 0 1.8832e-08 
XYL 1.1299e-08 0 1.1299e-08 0 1.1299e-08 0 1.1299e-08 
AONE 5.8851e-09 0 5.8851e-09 0 5.8851e-09 0 5.8851e-09 
PAR 4.4727e-07 0 4.4727e-07 0 4.4727e-07 0 4.4727e-07 
ISOP 1.0946e-09 0 1.0946e-09 0 1.0946e-09 0 1.0946e-09 
CH3OH 1.3418e-09 0 1.3418e-09 0 1.3418e-09 0 1.3418e-09 
ANOL 1.6243e-08 0 1.6243e-08 0 1.6243e-08 0 1.6243e-08 
