time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 6.7887e-09 0 6.7887e-09 0 6.7887e-09 0 6.7887e-09 
NO2 2.9307e-09 0 2.9307e-09 0 2.9307e-09 0 2.9307e-09 
NO 5.5823e-08 0 5.5823e-08 0 5.5823e-08 0 5.5823e-08 
NH3 1.9096e-08 0 1.9096e-08 0 1.9096e-08 0 1.9096e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.3333e-09 0 2.3333e-09 0 2.3333e-09 0 2.3333e-09 
HCHO 2.3333e-09 0 2.3333e-09 0 2.3333e-09 0 2.3333e-09 
ETH 2.6923e-08 0 2.6923e-08 0 2.6923e-08 0 2.6923e-08 
OLEI 8.7052e-09 0 8.7052e-09 0 8.7052e-09 0 8.7052e-09 
OLET 8.7052e-09 0 8.7052e-09 0 8.7052e-09 0 8.7052e-09 
TOL 1.4359e-08 0 1.4359e-08 0 1.4359e-08 0 1.4359e-08 
XYL 8.6154e-09 0 8.6154e-09 0 8.6154e-09 0 8.6154e-09 
AONE 4.4872e-09 0 4.4872e-09 0 4.4872e-09 0 4.4872e-09 
PAR 3.4103e-07 0 3.4103e-07 0 3.4103e-07 0 3.4103e-07 
ISOP 8.3462e-10 0 8.3462e-10 0 8.3462e-10 0 8.3462e-10 
CH3OH 1.0231e-09 0 1.0231e-09 0 1.0231e-09 0 1.0231e-09 
ANOL 1.2385e-08 0 1.2385e-08 0 1.2385e-08 0 1.2385e-08 
