time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 8.8036e-09 0 8.8036e-09 0 8.8036e-09 0 8.8036e-09 
NO2 2.1496e-09 0 2.1496e-09 0 2.1496e-09 0 2.1496e-09 
NO 4.0945e-08 0 4.0945e-08 0 4.0945e-08 0 4.0945e-08 
NH3 1.5722e-08 0 1.5722e-08 0 1.5722e-08 0 1.5722e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.1076e-09 0 4.1076e-09 0 4.1076e-09 0 4.1076e-09 
HCHO 4.1076e-09 0 4.1076e-09 0 4.1076e-09 0 4.1076e-09 
ETH 4.7396e-08 0 4.7396e-08 0 4.7396e-08 0 4.7396e-08 
OLEI 1.5325e-08 0 1.5325e-08 0 1.5325e-08 0 1.5325e-08 
OLET 1.5325e-08 0 1.5325e-08 0 1.5325e-08 0 1.5325e-08 
TOL 2.5278e-08 0 2.5278e-08 0 2.5278e-08 0 2.5278e-08 
XYL 1.5167e-08 0 1.5167e-08 0 1.5167e-08 0 1.5167e-08 
AONE 7.8993e-09 0 7.8993e-09 0 7.8993e-09 0 7.8993e-09 
PAR 6.0034e-07 0 6.0034e-07 0 6.0034e-07 0 6.0034e-07 
ISOP 1.4693e-09 0 1.4693e-09 0 1.4693e-09 0 1.4693e-09 
CH3OH 1.801e-09 0 1.801e-09 0 1.801e-09 0 1.801e-09 
ANOL 2.1802e-08 0 2.1802e-08 0 2.1802e-08 0 2.1802e-08 
