time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 9.918e-09 0 9.918e-09 0 9.918e-09 0 9.918e-09 
NO2 1.2873e-09 0 1.2873e-09 0 1.2873e-09 0 1.2873e-09 
NO 2.452e-08 0 2.452e-08 0 2.452e-08 0 2.452e-08 
NH3 1.4851e-08 0 1.4851e-08 0 1.4851e-08 0 1.4851e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 5.1737e-09 0 5.1737e-09 0 5.1737e-09 0 5.1737e-09 
HCHO 5.1737e-09 0 5.1737e-09 0 5.1737e-09 0 5.1737e-09 
ETH 5.9697e-08 0 5.9697e-08 0 5.9697e-08 0 5.9697e-08 
OLEI 1.9302e-08 0 1.9302e-08 0 1.9302e-08 0 1.9302e-08 
OLET 1.9302e-08 0 1.9302e-08 0 1.9302e-08 0 1.9302e-08 
TOL 3.1838e-08 0 3.1838e-08 0 3.1838e-08 0 3.1838e-08 
XYL 1.9103e-08 0 1.9103e-08 0 1.9103e-08 0 1.9103e-08 
AONE 9.9495e-09 0 9.9495e-09 0 9.9495e-09 0 9.9495e-09 
PAR 7.5616e-07 0 7.5616e-07 0 7.5616e-07 0 7.5616e-07 
ISOP 1.8506e-09 0 1.8506e-09 0 1.8506e-09 0 1.8506e-09 
CH3OH 2.2685e-09 0 2.2685e-09 0 2.2685e-09 0 2.2685e-09 
ANOL 2.7461e-08 0 2.7461e-08 0 2.7461e-08 0 2.7461e-08 
