time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 4.7078e-09 0 4.7078e-09 0 4.7078e-09 0 4.7078e-09 
NO2 2.7945e-09 0 2.7945e-09 0 2.7945e-09 0 2.7945e-09 
NO 5.3229e-08 0 5.3229e-08 0 5.3229e-08 0 5.3229e-08 
NH3 1.2302e-08 0 1.2302e-08 0 1.2302e-08 0 1.2302e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 1.3374e-09 0 1.3374e-09 0 1.3374e-09 0 1.3374e-09 
HCHO 1.3374e-09 0 1.3374e-09 0 1.3374e-09 0 1.3374e-09 
ETH 1.5432e-08 0 1.5432e-08 0 1.5432e-08 0 1.5432e-08 
OLEI 4.9896e-09 0 4.9896e-09 0 4.9896e-09 0 4.9896e-09 
OLET 4.9896e-09 0 4.9896e-09 0 4.9896e-09 0 4.9896e-09 
TOL 8.2302e-09 0 8.2302e-09 0 8.2302e-09 0 8.2302e-09 
XYL 4.9381e-09 0 4.9381e-09 0 4.9381e-09 0 4.9381e-09 
AONE 2.5719e-09 0 2.5719e-09 0 2.5719e-09 0 2.5719e-09 
PAR 1.9547e-07 0 1.9547e-07 0 1.9547e-07 0 1.9547e-07 
ISOP 4.7838e-10 0 4.7838e-10 0 4.7838e-10 0 4.7838e-10 
CH3OH 5.864e-10 0 5.864e-10 0 5.864e-10 0 5.864e-10 
ANOL 7.0986e-09 0 7.0986e-09 0 7.0986e-09 0 7.0986e-09 
