time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 3.2841e-09 0 3.2841e-09 0 3.2841e-09 0 3.2841e-09 
NO2 2.5353e-09 0 2.5353e-09 0 2.5353e-09 0 2.5353e-09 
NO 4.8292e-08 0 4.8292e-08 0 4.8292e-08 0 4.8292e-08 
NH3 1.0677e-08 0 1.0677e-08 0 1.0677e-08 0 1.0677e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.9171e-09 0 4.9171e-09 0 4.9171e-09 0 4.9171e-09 
HCHO 4.9171e-09 0 4.9171e-09 0 4.9171e-09 0 4.9171e-09 
ETH 5.6736e-08 0 5.6736e-08 0 5.6736e-08 0 5.6736e-08 
OLEI 1.8345e-08 0 1.8345e-08 0 1.8345e-08 0 1.8345e-08 
OLET 1.8345e-08 0 1.8345e-08 0 1.8345e-08 0 1.8345e-08 
TOL 3.0259e-08 0 3.0259e-08 0 3.0259e-08 0 3.0259e-08 
XYL 1.8155e-08 0 1.8155e-08 0 1.8155e-08 0 1.8155e-08 
AONE 9.4559e-09 0 9.4559e-09 0 9.4559e-09 0 9.4559e-09 
PAR 7.1865e-07 0 7.1865e-07 0 7.1865e-07 0 7.1865e-07 
ISOP 1.7588e-09 0 1.7588e-09 0 1.7588e-09 0 1.7588e-09 
CH3OH 2.156e-09 0 2.156e-09 0 2.156e-09 0 2.156e-09 
ANOL 2.6098e-08 0 2.6098e-08 0 2.6098e-08 0 2.6098e-08 
