time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 4.0323e-09 0 4.0323e-09 0 4.0323e-09 0 4.0323e-09 
NO2 3.2996e-09 0 3.2996e-09 0 3.2996e-09 0 3.2996e-09 
NO 6.285e-08 0 6.285e-08 0 6.285e-08 0 6.285e-08 
NH3 1.2894e-08 0 1.2894e-08 0 1.2894e-08 0 1.2894e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 3.7154e-09 0 3.7154e-09 0 3.7154e-09 0 3.7154e-09 
HCHO 3.7154e-09 0 3.7154e-09 0 3.7154e-09 0 3.7154e-09 
ETH 4.2869e-08 0 4.2869e-08 0 4.2869e-08 0 4.2869e-08 
OLEI 1.3861e-08 0 1.3861e-08 0 1.3861e-08 0 1.3861e-08 
OLET 1.3861e-08 0 1.3861e-08 0 1.3861e-08 0 1.3861e-08 
TOL 2.2864e-08 0 2.2864e-08 0 2.2864e-08 0 2.2864e-08 
XYL 1.3718e-08 0 1.3718e-08 0 1.3718e-08 0 1.3718e-08 
AONE 7.1449e-09 0 7.1449e-09 0 7.1449e-09 0 7.1449e-09 
PAR 5.4301e-07 0 5.4301e-07 0 5.4301e-07 0 5.4301e-07 
ISOP 1.329e-09 0 1.329e-09 0 1.329e-09 0 1.329e-09 
CH3OH 1.629e-09 0 1.629e-09 0 1.629e-09 0 1.629e-09 
ANOL 1.972e-08 0 1.972e-08 0 1.972e-08 0 1.972e-08 
