time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 1.5514e-10 0 1.5514e-10 0 1.5514e-10 0 1.5514e-10 
NO2 3.2307e-10 0 3.2307e-10 0 3.2307e-10 0 3.2307e-10 
NO 6.1537e-09 0 6.1537e-09 0 6.1537e-09 0 6.1537e-09 
NH3 1.9321e-08 0 1.9321e-08 0 1.9321e-08 0 1.9321e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 9.6912e-11 0 9.6912e-11 0 9.6912e-11 0 9.6912e-11 
HCHO 9.6912e-11 0 9.6912e-11 0 9.6912e-11 0 9.6912e-11 
ETH 1.1182e-09 0 1.1182e-09 0 1.1182e-09 0 1.1182e-09 
OLEI 3.6156e-10 0 3.6156e-10 0 3.6156e-10 0 3.6156e-10 
OLET 3.6156e-10 0 3.6156e-10 0 3.6156e-10 0 3.6156e-10 
TOL 5.9638e-10 0 5.9638e-10 0 5.9638e-10 0 5.9638e-10 
XYL 3.5783e-10 0 3.5783e-10 0 3.5783e-10 0 3.5783e-10 
AONE 1.8637e-10 0 1.8637e-10 0 1.8637e-10 0 1.8637e-10 
PAR 1.4164e-08 0 1.4164e-08 0 1.4164e-08 0 1.4164e-08 
ISOP 3.4665e-11 0 3.4665e-11 0 3.4665e-11 0 3.4665e-11 
CH3OH 4.2492e-11 0 4.2492e-11 0 4.2492e-11 0 4.2492e-11 
ANOL 5.1438e-10 0 5.1438e-10 0 5.1438e-10 0 5.1438e-10 
