time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 7.4945e-09 0 7.4945e-09 0 7.4945e-09 0 7.4945e-09 
NO2 1.0222e-09 0 1.0222e-09 0 1.0222e-09 0 1.0222e-09 
NO 1.9471e-08 0 1.9471e-08 0 1.9471e-08 0 1.9471e-08 
NH3 1.3692e-08 0 1.3692e-08 0 1.3692e-08 0 1.3692e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 5.013e-09 0 5.013e-09 0 5.013e-09 0 5.013e-09 
HCHO 5.013e-09 0 5.013e-09 0 5.013e-09 0 5.013e-09 
ETH 5.7843e-08 0 5.7843e-08 0 5.7843e-08 0 5.7843e-08 
OLEI 1.8702e-08 0 1.8702e-08 0 1.8702e-08 0 1.8702e-08 
OLET 1.8702e-08 0 1.8702e-08 0 1.8702e-08 0 1.8702e-08 
TOL 3.0849e-08 0 3.0849e-08 0 3.0849e-08 0 3.0849e-08 
XYL 1.851e-08 0 1.851e-08 0 1.851e-08 0 1.851e-08 
AONE 9.6404e-09 0 9.6404e-09 0 9.6404e-09 0 9.6404e-09 
PAR 7.3267e-07 0 7.3267e-07 0 7.3267e-07 0 7.3267e-07 
ISOP 1.7931e-09 0 1.7931e-09 0 1.7931e-09 0 1.7931e-09 
CH3OH 2.198e-09 0 2.198e-09 0 2.198e-09 0 2.198e-09 
ANOL 2.6608e-08 0 2.6608e-08 0 2.6608e-08 0 2.6608e-08 
