time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 5.432e-09 0 5.432e-09 0 5.432e-09 0 5.432e-09 
NO2 1.0511e-10 0 1.0511e-10 0 1.0511e-10 0 1.0511e-10 
NO 2.002e-09 0 2.002e-09 0 2.002e-09 0 2.002e-09 
NH3 1.0411e-09 0 1.0411e-09 0 1.0411e-09 0 1.0411e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 1.3439e-09 0 1.3439e-09 0 1.3439e-09 0 1.3439e-09 
HCHO 1.3439e-09 0 1.3439e-09 0 1.3439e-09 0 1.3439e-09 
ETH 1.5507e-08 0 1.5507e-08 0 1.5507e-08 0 1.5507e-08 
OLEI 5.0139e-09 0 5.0139e-09 0 5.0139e-09 0 5.0139e-09 
OLET 5.0139e-09 0 5.0139e-09 0 5.0139e-09 0 5.0139e-09 
TOL 8.2703e-09 0 8.2703e-09 0 8.2703e-09 0 8.2703e-09 
XYL 4.9622e-09 0 4.9622e-09 0 4.9622e-09 0 4.9622e-09 
AONE 2.5845e-09 0 2.5845e-09 0 2.5845e-09 0 2.5845e-09 
PAR 1.9642e-07 0 1.9642e-07 0 1.9642e-07 0 1.9642e-07 
ISOP 4.8071e-10 0 4.8071e-10 0 4.8071e-10 0 4.8071e-10 
CH3OH 5.8926e-10 0 5.8926e-10 0 5.8926e-10 0 5.8926e-10 
ANOL 7.1331e-09 0 7.1331e-09 0 7.1331e-09 0 7.1331e-09 
