time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 3.1909e-09 0 3.1909e-09 0 3.1909e-09 0 3.1909e-09 
NO2 1.681e-10 0 1.681e-10 0 1.681e-10 0 1.681e-10 
NO 3.2019e-09 0 3.2019e-09 0 3.2019e-09 0 3.2019e-09 
NH3 1.2185e-08 0 1.2185e-08 0 1.2185e-08 0 1.2185e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.0122e-09 0 2.0122e-09 0 2.0122e-09 0 2.0122e-09 
HCHO 2.0122e-09 0 2.0122e-09 0 2.0122e-09 0 2.0122e-09 
ETH 2.3218e-08 0 2.3218e-08 0 2.3218e-08 0 2.3218e-08 
OLEI 7.5071e-09 0 7.5071e-09 0 7.5071e-09 0 7.5071e-09 
OLET 7.5071e-09 0 7.5071e-09 0 7.5071e-09 0 7.5071e-09 
TOL 1.2383e-08 0 1.2383e-08 0 1.2383e-08 0 1.2383e-08 
XYL 7.4297e-09 0 7.4297e-09 0 7.4297e-09 0 7.4297e-09 
AONE 3.8697e-09 0 3.8697e-09 0 3.8697e-09 0 3.8697e-09 
PAR 2.9409e-07 0 2.9409e-07 0 2.9409e-07 0 2.9409e-07 
ISOP 7.1976e-10 0 7.1976e-10 0 7.1976e-10 0 7.1976e-10 
CH3OH 8.8228e-10 0 8.8228e-10 0 8.8228e-10 0 8.8228e-10 
ANOL 1.068e-08 0 1.068e-08 0 1.068e-08 0 1.068e-08 
