time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 1.5348e-09 0 1.5348e-09 0 1.5348e-09 0 1.5348e-09 
NO2 1.3892e-09 0 1.3892e-09 0 1.3892e-09 0 1.3892e-09 
NO 2.646e-08 0 2.646e-08 0 2.646e-08 0 2.646e-08 
NH3 8.4205e-09 0 8.4205e-09 0 8.4205e-09 0 8.4205e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 2.7695e-09 0 2.7695e-09 0 2.7695e-09 0 2.7695e-09 
HCHO 2.7695e-09 0 2.7695e-09 0 2.7695e-09 0 2.7695e-09 
ETH 3.1955e-08 0 3.1955e-08 0 3.1955e-08 0 3.1955e-08 
OLEI 1.0332e-08 0 1.0332e-08 0 1.0332e-08 0 1.0332e-08 
OLET 1.0332e-08 0 1.0332e-08 0 1.0332e-08 0 1.0332e-08 
TOL 1.7043e-08 0 1.7043e-08 0 1.7043e-08 0 1.7043e-08 
XYL 1.0226e-08 0 1.0226e-08 0 1.0226e-08 0 1.0226e-08 
AONE 5.3259e-09 0 5.3259e-09 0 5.3259e-09 0 5.3259e-09 
PAR 4.0477e-07 0 4.0477e-07 0 4.0477e-07 0 4.0477e-07 
ISOP 9.9061e-10 0 9.9061e-10 0 9.9061e-10 0 9.9061e-10 
CH3OH 1.2143e-09 0 1.2143e-09 0 1.2143e-09 0 1.2143e-09 
ANOL 1.4699e-08 0 1.4699e-08 0 1.4699e-08 0 1.4699e-08 
