time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 2.2903e-09 0 2.2903e-09 0 2.2903e-09 0 2.2903e-09 
NO2 1.1534e-09 0 1.1534e-09 0 1.1534e-09 0 1.1534e-09 
NO 2.1969e-08 0 2.1969e-08 0 2.1969e-08 0 2.1969e-08 
NH3 5.6582e-09 0 5.6582e-09 0 5.6582e-09 0 5.6582e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.1703e-09 0 4.1703e-09 0 4.1703e-09 0 4.1703e-09 
HCHO 4.1703e-09 0 4.1703e-09 0 4.1703e-09 0 4.1703e-09 
ETH 4.8119e-08 0 4.8119e-08 0 4.8119e-08 0 4.8119e-08 
OLEI 1.5558e-08 0 1.5558e-08 0 1.5558e-08 0 1.5558e-08 
OLET 1.5558e-08 0 1.5558e-08 0 1.5558e-08 0 1.5558e-08 
TOL 2.5663e-08 0 2.5663e-08 0 2.5663e-08 0 2.5663e-08 
XYL 1.5398e-08 0 1.5398e-08 0 1.5398e-08 0 1.5398e-08 
AONE 8.0198e-09 0 8.0198e-09 0 8.0198e-09 0 8.0198e-09 
PAR 6.095e-07 0 6.095e-07 0 6.095e-07 0 6.095e-07 
ISOP 1.4917e-09 0 1.4917e-09 0 1.4917e-09 0 1.4917e-09 
CH3OH 1.8285e-09 0 1.8285e-09 0 1.8285e-09 0 1.8285e-09 
ANOL 2.2135e-08 0 2.2135e-08 0 2.2135e-08 0 2.2135e-08 
