time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 6.896e-09 0 6.896e-09 0 6.896e-09 0 6.896e-09 
NO2 5.5999e-10 0 5.5999e-10 0 5.5999e-10 0 5.5999e-10 
NO 1.0667e-08 0 1.0667e-08 0 1.0667e-08 0 1.0667e-08 
NH3 1.3345e-08 0 1.3345e-08 0 1.3345e-08 0 1.3345e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 3.8615e-09 0 3.8615e-09 0 3.8615e-09 0 3.8615e-09 
HCHO 3.8615e-09 0 3.8615e-09 0 3.8615e-09 0 3.8615e-09 
ETH 4.4555e-08 0 4.4555e-08 0 4.4555e-08 0 4.4555e-08 
OLEI 1.4406e-08 0 1.4406e-08 0 1.4406e-08 0 1.4406e-08 
OLET 1.4406e-08 0 1.4406e-08 0 1.4406e-08 0 1.4406e-08 
TOL 2.3763e-08 0 2.3763e-08 0 2.3763e-08 0 2.3763e-08 
XYL 1.4258e-08 0 1.4258e-08 0 1.4258e-08 0 1.4258e-08 
AONE 7.4259e-09 0 7.4259e-09 0 7.4259e-09 0 7.4259e-09 
PAR 5.6437e-07 0 5.6437e-07 0 5.6437e-07 0 5.6437e-07 
ISOP 1.3812e-09 0 1.3812e-09 0 1.3812e-09 0 1.3812e-09 
CH3OH 1.6931e-09 0 1.6931e-09 0 1.6931e-09 0 1.6931e-09 
ANOL 2.0495e-08 0 2.0495e-08 0 2.0495e-08 0 2.0495e-08 
