time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 2.8662e-09 0 2.8662e-09 0 2.8662e-09 0 2.8662e-09 
NO2 4.2821e-10 0 4.2821e-10 0 4.2821e-10 0 4.2821e-10 
NO 8.1564e-09 0 8.1564e-09 0 8.1564e-09 0 8.1564e-09 
NH3 9.6486e-09 0 9.6486e-09 0 9.6486e-09 0 9.6486e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 1.8063e-09 0 1.8063e-09 0 1.8063e-09 0 1.8063e-09 
HCHO 1.8063e-09 0 1.8063e-09 0 1.8063e-09 0 1.8063e-09 
ETH 2.0842e-08 0 2.0842e-08 0 2.0842e-08 0 2.0842e-08 
OLEI 6.7389e-09 0 6.7389e-09 0 6.7389e-09 0 6.7389e-09 
OLET 6.7389e-09 0 6.7389e-09 0 6.7389e-09 0 6.7389e-09 
TOL 1.1116e-08 0 1.1116e-08 0 1.1116e-08 0 1.1116e-08 
XYL 6.6694e-09 0 6.6694e-09 0 6.6694e-09 0 6.6694e-09 
AONE 3.4737e-09 0 3.4737e-09 0 3.4737e-09 0 3.4737e-09 
PAR 2.64e-07 0 2.64e-07 0 2.64e-07 0 2.64e-07 
ISOP 6.461e-10 0 6.461e-10 0 6.461e-10 0 6.461e-10 
CH3OH 7.9199e-10 0 7.9199e-10 0 7.9199e-10 0 7.9199e-10 
ANOL 9.5873e-09 0 9.5873e-09 0 9.5873e-09 0 9.5873e-09 
