time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 3.6739e-09 0 3.6739e-09 0 3.6739e-09 0 3.6739e-09 
NO2 2.2794e-09 0 2.2794e-09 0 2.2794e-09 0 2.2794e-09 
NO 4.3417e-08 0 4.3417e-08 0 4.3417e-08 0 4.3417e-08 
NH3 6.1123e-09 0 6.1123e-09 0 6.1123e-09 0 6.1123e-09 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 4.5448e-09 0 4.5448e-09 0 4.5448e-09 0 4.5448e-09 
HCHO 4.5448e-09 0 4.5448e-09 0 4.5448e-09 0 4.5448e-09 
ETH 5.244e-08 0 5.244e-08 0 5.244e-08 0 5.244e-08 
OLEI 1.6956e-08 0 1.6956e-08 0 1.6956e-08 0 1.6956e-08 
OLET 1.6956e-08 0 1.6956e-08 0 1.6956e-08 0 1.6956e-08 
TOL 2.7968e-08 0 2.7968e-08 0 2.7968e-08 0 2.7968e-08 
XYL 1.6781e-08 0 1.6781e-08 0 1.6781e-08 0 1.6781e-08 
AONE 8.7401e-09 0 8.7401e-09 0 8.7401e-09 0 8.7401e-09 
PAR 6.6424e-07 0 6.6424e-07 0 6.6424e-07 0 6.6424e-07 
ISOP 1.6257e-09 0 1.6257e-09 0 1.6257e-09 0 1.6257e-09 
CH3OH 1.9927e-09 0 1.9927e-09 0 1.9927e-09 0 1.9927e-09 
ANOL 2.4123e-08 0 2.4123e-08 0 2.4123e-08 0 2.4123e-08 
