time 0 43200 86400 129600 172800 216000 259200 
rate 0.5 0 0.5 0 0.5 0 0.5 
SO2 5.9279e-09 0 5.9279e-09 0 5.9279e-09 0 5.9279e-09 
NO2 3.3436e-09 0 3.3436e-09 0 3.3436e-09 0 3.3436e-09 
NO 6.3687e-08 0 6.3687e-08 0 6.3687e-08 0 6.3687e-08 
NH3 1.3107e-08 0 1.3107e-08 0 1.3107e-08 0 1.3107e-08 
CO 7.9587e-07 0 7.9587e-07 0 7.9587e-07 0 7.9587e-07 
ALD2 1.7723e-09 0 1.7723e-09 0 1.7723e-09 0 1.7723e-09 
HCHO 1.7723e-09 0 1.7723e-09 0 1.7723e-09 0 1.7723e-09 
ETH 2.0449e-08 0 2.0449e-08 0 2.0449e-08 0 2.0449e-08 
OLEI 6.6119e-09 0 6.6119e-09 0 6.6119e-09 0 6.6119e-09 
OLET 6.6119e-09 0 6.6119e-09 0 6.6119e-09 0 6.6119e-09 
TOL 1.0906e-08 0 1.0906e-08 0 1.0906e-08 0 1.0906e-08 
XYL 6.5437e-09 0 6.5437e-09 0 6.5437e-09 0 6.5437e-09 
AONE 3.4082e-09 0 3.4082e-09 0 3.4082e-09 0 3.4082e-09 
PAR 2.5902e-07 0 2.5902e-07 0 2.5902e-07 0 2.5902e-07 
ISOP 6.3392e-10 0 6.3392e-10 0 6.3392e-10 0 6.3392e-10 
CH3OH 7.7706e-10 0 7.7706e-10 0 7.7706e-10 0 7.7706e-10 
ANOL 9.4066e-09 0 9.4066e-09 0 9.4066e-09 0 9.4066e-09 
